playlist_title,playlist_id
UFCG-CCT-UAEP,PLPoKjpswiKAg-rkcgQVh_zk_cj2kVKffg
UFCG-CSTR-UACB,PLPoKjpswiKAhwRWxXlIVTmNESrklZcVke
UFCG-CCJS-UAD,PLPoKjpswiKAgX82JV4Tlfc_KipUMbKf0U
UFCG-CES-UABQ,PLPoKjpswiKAgQhiIr4FF7tSAiQi7n0sr8
UFCG-CEEI-UAEE,PLPoKjpswiKAhWlwru-5CfdY68RkqwnxqN
UFCG-CFP-UACEN,PLPoKjpswiKAgHwwizFBSKLmAvGAcJXwnx
UFCG-CTRN-UACA,PLPoKjpswiKAjTgi3AD7KcU3apzaqenOci
UFCG-CH-UAL,PLPoKjpswiKAhzYDRLwIgYdt2T4S5n8XzZ
UFCG-CDSA-UACIS,PLPoKjpswiKAhf0uR1SUj9iMWZ6LtC85vX
UFCG-CCT-UAF,PLPoKjpswiKAiPtlL0idBy30C7SgtB7f1b
UFCG-CSTR-UAMV,PLPoKjpswiKAi--v2r2yEmSC-XrX5lGiki
UFCG-CSTR-UACB,PLPoKjpswiKAjWntzNGqIA3OzWRvoXYSMJ
UFCG-CCJS-UAD,PLPoKjpswiKAhL4mv7QSlRX-Hm3KA2-_Og
UFCG-CES-UABQ,PLPoKjpswiKAi__lBNYb_vAsUOx62LuFQZ
UFCG-CEEI-UAEE,PLPoKjpswiKAiwchVWsmWA63pnqyjvjaMv
UFCG-CFP-UACEN,PLPoKjpswiKAjfMWOm70pOYJl-6k3h-t_v
UFCG-CTRN-UACA,PLPoKjpswiKAhXSHOWoBq6v4kxlxJNwfvB
UFCG-CH-UAL,PLPoKjpswiKAjMfLFlvaR9PMHNzJvOF2UJ
UFCG-CDSA-UACIS,PLPoKjpswiKAhl_lO_n7Et1UeY9dFwuN49
UFCG-CCT-UAF,PLPoKjpswiKAhfXL2AEz1ddXQP62nXnjFE
UFCG-CSTR-UAMV,PLPoKjpswiKAg-dfuwXZEhqmg893TqQX6l
UFCG-CSTR-UAMV,PLPoKjpswiKAhajl94d59GshQBTshD-0rW
